chr2L	14810000	14812000	chr2L	21032000	21034000	random_loop_1	0	0
chr3L	12536000	12538000	chr3L	16262000	16264000	random_loop_2	0	2
chr2L	206000	208000	chr2L	2680000	2682000	random_loop_3	2	0
chr3L	4784000	4786000	chr3L	9218000	9220000	random_loop_4	2	4
chrX	5542000	5544000	chrX	8912000	8914000	random_loop_5	1	3
chrX	15932000	15934000	chrX	22252000	22254000	random_loop_6	0	0
chr2L	1896000	1898000	chr2L	15592000	15594000	random_loop_7	0	0
chr2R	11170000	11172000	chr2R	11312000	11314000	random_loop_8	30	37
chr3R	23804000	23806000	chr3R	26878000	26880000	random_loop_9	3	9
chr2L	10500000	10502000	chr2L	16722000	16724000	random_loop_10	4	0
chr3R	15802000	15804000	chr3R	18912000	18914000	random_loop_11	3	5
chr3L	16452000	16454000	chr3L	22672000	22674000	random_loop_12	3	0
chr3L	2146000	2148000	chr3L	3708000	3710000	random_loop_13	5	2
chr3R	16074000	16076000	chr3R	29762000	29764000	random_loop_14	0	0
chr3R	12408000	12410000	chr3R	27636000	27638000	random_loop_15	0	2
chr3R	12924000	12926000	chr3R	19152000	19154000	random_loop_16	2	0
chr2R	11418000	11420000	chr2R	13888000	13890000	random_loop_17	2	3
chr3R	3602000	3604000	chr3R	9860000	9862000	random_loop_18	1	0
chr2L	1872000	1874000	chr2L	12410000	12412000	random_loop_19	0	0
chrX	4544000	4546000	chrX	19604000	19606000	random_loop_20	0	0
chr2L	836000	838000	chr2L	4206000	4208000	random_loop_21	4	11
chrX	904000	906000	chrX	2498000	2500000	random_loop_22	3	3
chr2R	6170000	6172000	chr2R	21280000	21282000	random_loop_23	0	0
chr2L	14106000	14108000	chr2L	17814000	17816000	random_loop_24	4	4
chr3R	21738000	21740000	chr3R	23022000	23024000	random_loop_25	3	6
chr2R	19696000	19698000	chr2R	23704000	23706000	random_loop_26	2	1
chr2L	4282000	4284000	chr2L	5566000	5568000	random_loop_27	2	2
chr3R	5004000	5006000	chr3R	20232000	20234000	random_loop_28	0	0
chr2L	12062000	12064000	chr2L	18290000	18292000	random_loop_29	1	1
chr2L	3684000	3686000	chr2L	7376000	7378000	random_loop_30	1	0
chr3R	17294000	17296000	chr3R	26896000	26898000	random_loop_31	1	0
chr3L	22858000	22860000	chr3L	25932000	25934000	random_loop_32	2	2
chrX	10888000	10890000	chrX	13962000	13964000	random_loop_33	1	5
chr3L	22988000	22990000	chr3L	24582000	24584000	random_loop_34	0	0
chr2L	13474000	13476000	chr2L	19794000	19796000	random_loop_35	1	1
chrX	1750000	1752000	chrX	7636000	7638000	random_loop_36	1	1
chr3R	2902000	2904000	chr3R	9218000	9220000	random_loop_37	1	0
chr3L	8448000	8450000	chr3L	14764000	14766000	random_loop_38	1	3
chr2R	1070000	1072000	chr2R	9956000	9958000	random_loop_39	0	0
chr2L	4230000	4232000	chr2L	7938000	7940000	random_loop_40	2	0
chr3L	9810000	9812000	chr3L	15810000	15812000	random_loop_41	1	1
chr2R	16792000	16794000	chr2R	19886000	19888000	random_loop_42	1	0
chr3R	22994000	22996000	chr3R	26068000	26070000	random_loop_43	2	2
chr2R	21474000	21476000	chr2R	21616000	21618000	random_loop_44	32	30
chr3L	358000	360000	chr3L	4184000	4186000	random_loop_45	1	2
chr3R	12394000	12396000	chr3R	13870000	13872000	random_loop_46	0	2
chr2R	13260000	13262000	chr2R	16320000	16322000	random_loop_47	1	2
chr2R	18538000	18540000	chr2R	24728000	24730000	random_loop_48	1	0
chr3L	10512000	10514000	chr3L	16732000	16734000	random_loop_49	1	0
chr3R	21962000	21964000	chr3R	27958000	27960000	random_loop_50	0	1
chr3L	8044000	8046000	chr3L	10514000	10516000	random_loop_51	2	0
chrX	1846000	1848000	chrX	3440000	3442000	random_loop_52	3	2
chr2R	17064000	17066000	chr2R	22308000	22310000	random_loop_53	0	4
chr2L	2542000	2544000	chr2L	2684000	2686000	random_loop_54	39	32
chrX	16838000	16840000	chrX	20664000	20666000	random_loop_55	2	2
chrX	5126000	5128000	chrX	18814000	18816000	random_loop_56	0	1
chrX	4242000	4244000	chrX	7610000	7612000	random_loop_57	0	0
chr2L	6048000	6050000	chr2L	12028000	12030000	random_loop_58	4	4
chr2L	2118000	2120000	chr2L	5844000	5846000	random_loop_59	0	0
chrX	8956000	8958000	chrX	15168000	15170000	random_loop_60	0	1
chr3L	12750000	12752000	chr3L	27808000	27810000	random_loop_61	0	0
chr2L	5402000	5404000	chr2L	11388000	11390000	random_loop_62	1	3
chr3L	10286000	10288000	chr3L	11766000	11768000	random_loop_63	1	0
chr3R	21636000	21638000	chr3R	21778000	21780000	random_loop_64	43	41
chr2R	12942000	12944000	chr2R	15016000	15018000	random_loop_65	1	0
chrX	13904000	13906000	chrX	13952000	13954000	random_loop_66	168	153
chr2R	9140000	9142000	chr2R	24368000	24370000	random_loop_67	1	0
chr2R	17766000	17768000	chr2R	18962000	18964000	random_loop_68	7	5
chrX	3874000	3876000	chrX	9854000	9856000	random_loop_69	1	0
chrX	8778000	8780000	chrX	12786000	12788000	random_loop_70	0	2
chr3L	20124000	20126000	chr3L	26344000	26346000	random_loop_71	0	0
chr2R	1932000	1934000	chr2R	2074000	2076000	random_loop_72	52	41
chr3R	8890000	8892000	chr3R	10380000	10382000	random_loop_73	0	5
chr2R	8110000	8112000	chr2R	9704000	9706000	random_loop_74	5	1
chr2L	1670000	1672000	chr2L	5038000	5040000	random_loop_75	3	1
chr3L	11412000	11414000	chr3L	17408000	17410000	random_loop_76	0	0
chr3L	14840000	14842000	chr3L	20726000	20728000	random_loop_77	1	0
chr2L	3584000	3586000	chr2L	6694000	6696000	random_loop_78	3	2
chr2R	8862000	8864000	chr2R	22550000	22552000	random_loop_79	0	0
chr2L	3672000	3674000	chr2L	17368000	17370000	random_loop_80	0	0
